Address,Date
黄浦区四牌楼路106号,['2022-04-05']
黄浦区四牌楼路110号,"['2022-04-05', '2022-03-22']"
黄浦区四牌楼路114号,"['2022-04-05', '2022-04-03', '2022-03-29']"
黄浦区四牌楼路120号,['2022-04-05']
黄浦区四牌楼路126号,['2022-04-05']
黄浦区四牌楼路75号,['2022-04-05']
黄浦区四牌楼路77弄,['2022-04-05']
黄浦区四牌楼路87号,['2022-04-05']
黄浦区四牌楼路95弄,"['2022-04-05', '2022-04-03', '2022-03-29']"
黄浦区泗泾路16号,['2022-04-05']
黄浦区泗泾路27号,['2022-04-05']
黄浦区泰康路190弄,"['2022-04-05', '2022-04-04']"
黄浦区泰康路220号,"['2022-04-05', '2022-04-03']"
黄浦区桃源路111弄,"['2022-04-05', '2022-04-03']"
黄浦区天津路157弄,['2022-04-05']
黄浦区天津路179弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-02']"
黄浦区铁道路140号,['2022-04-05']
黄浦区铁道路676号,"['2022-04-05', '2022-04-04']"
黄浦区威海路149号,"['2022-04-05', '2022-04-03']"
黄浦区文庙路33弄,['2022-04-05']
黄浦区文庙路60弄,"['2022-04-05', '2022-04-03', '2022-04-02', '2022-04-01', '2022-03-30']"
黄浦区文庙路85号,['2022-04-05']
黄浦区吴家弄25弄,['2022-04-05']
黄浦区五里桥178号,['2022-04-05']
黄浦区五里桥路269弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-03-29']"
黄浦区西仓桥街103弄,['2022-04-05']
黄浦区西仓桥街105号,"['2022-04-05', '2022-04-02']"
黄浦区西仓桥街112弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-02', '2022-04-01', '2022-03-30', '2022-03-29']"
黄浦区西仓桥街149号,['2022-04-05']
黄浦区西仓桥街161弄,"['2022-04-05', '2022-04-02', '2022-03-30']"
黄浦区西仓桥街82号,['2022-04-05']
黄浦区西仓桥街96号,['2022-04-05']
黄浦区西藏南路1341弄,['2022-04-05']
黄浦区西藏南路1731号,"['2022-04-05', '2022-04-03']"
黄浦区西藏南路500号,['2022-04-05']
黄浦区西藏南路555弄,"['2022-04-05', '2022-04-04']"
黄浦区西藏南路569号,['2022-04-05']
黄浦区西藏南路688号,['2022-04-05']
黄浦区西藏南路688弄,"['2022-04-05', '2022-04-04', '2022-03-29']"
黄浦区西藏南路779号,['2022-04-05']
黄浦区西藏南路831弄,['2022-04-05']
黄浦区西藏南路897号,['2022-04-05']
黄浦区西藏中路200号,['2022-04-05']
黄浦区西藏中路500号,['2022-04-05']
黄浦区西凌家宅路146号,['2022-04-05']
黄浦区西凌家宅路27弄,['2022-04-05']
黄浦区西姚家弄11号,['2022-04-05']
黄浦区西姚家弄21弄,['2022-04-05']
黄浦区西姚家弄27号,"['2022-04-05', '2022-04-04']"
黄浦区西姚家弄51号,['2022-04-05']
黄浦区西姚家弄57号,['2022-04-05']
黄浦区县左街20弄,"['2022-04-05', '2022-04-04', '2022-04-01', '2022-03-30', '2022-03-27']"
黄浦区香港路123号,"['2022-04-05', '2022-04-04']"
黄浦区香港路130号,"['2022-04-05', '2022-04-04']"
黄浦区小桃园街30弄,['2022-04-05']
黄浦区小桃园街40弄,"['2022-04-05', '2022-04-03', '2022-03-29']"
黄浦区小桃园街50弄,"['2022-04-05', '2022-04-04', '2022-04-01', '2022-03-29']"
黄浦区斜土东路197号,['2022-04-05']
黄浦区斜土路102号,['2022-04-05']
黄浦区斜土路118弄,['2022-04-05']
黄浦区斜土路195弄,['2022-04-05']
黄浦区斜土路262弄,['2022-04-05']
